Batch	Well	Content
1	A1	pos
1	A2	sample
1	A3	sample
1	A4	sample
1	A5	sample
1	A6	sample
1	A7	sample
1	A8	sample
1	A9	sample
1	A10	sample
1	A11	sample
1	A12	sample
1	A13	sample
1	A14	sample
1	A15	sample
1	A16	sample
1	A17	sample
1	A18	sample
1	A19	sample
1	A20	sample
1	A21	sample
1	A22	sample
1	A23	sample
1	A24	sample
1	B1	pos
1	B2	sample
1	B3	sample
1	B4	sample
1	B5	sample
1	B6	sample
1	B7	sample
1	B8	sample
1	B9	sample
1	B10	sample
1	B11	sample
1	B12	sample
1	B13	sample
1	B14	sample
1	B15	sample
1	B16	sample
1	B17	sample
1	B18	sample
1	B19	sample
1	B20	sample
1	B21	sample
1	B22	sample
1	B23	sample
1	B24	sample
1	C1	sample
1	C2	pos
1	C3	sample
1	C4	sample
1	C5	sample
1	C6	sample
1	C7	sample
1	C8	sample
1	C9	sample
1	C10	sample
1	C11	sample
1	C12	sample
1	C13	sample
1	C14	sample
1	C15	sample
1	C16	sample
1	C17	sample
1	C18	sample
1	C19	sample
1	C20	sample
1	C21	sample
1	C22	sample
1	C23	sample
1	C24	sample
1	D1	sample
1	D2	pos
1	D3	sample
1	D4	sample
1	D5	sample
1	D6	sample
1	D7	sample
1	D8	sample
1	D9	sample
1	D10	sample
1	D11	sample
1	D12	sample
1	D13	sample
1	D14	sample
1	D15	sample
1	D16	sample
1	D17	sample
1	D18	sample
1	D19	sample
1	D20	sample
1	D21	sample
1	D22	sample
1	D23	sample
1	D24	sample
1	E1	sample
1	E2	sample
1	E3	sample
1	E4	sample
1	E5	sample
1	E6	sample
1	E7	sample
1	E8	sample
1	E9	sample
1	E10	sample
1	E11	sample
1	E12	sample
1	E13	sample
1	E14	sample
1	E15	sample
1	E16	sample
1	E17	sample
1	E18	sample
1	E19	sample
1	E20	sample
1	E21	sample
1	E22	sample
1	E23	sample
1	E24	sample
1	F1	sample
1	F2	sample
1	F3	sample
1	F4	sample
1	F5	sample
1	F6	sample
1	F7	sample
1	F8	sample
1	F9	sample
1	F10	sample
1	F11	sample
1	F12	sample
1	F13	sample
1	F14	sample
1	F15	sample
1	F16	sample
1	F17	sample
1	F18	sample
1	F19	sample
1	F20	sample
1	F21	sample
1	F22	sample
1	F23	sample
1	F24	sample
1	G1	sample
1	G2	sample
1	G3	sample
1	G4	sample
1	G5	sample
1	G6	sample
1	G7	sample
1	G8	sample
1	G9	sample
1	G10	sample
1	G11	sample
1	G12	sample
1	G13	sample
1	G14	sample
1	G15	sample
1	G16	sample
1	G17	sample
1	G18	sample
1	G19	sample
1	G20	sample
1	G21	sample
1	G22	sample
1	G23	sample
1	G24	sample
1	H1	sample
1	H2	sample
1	H3	sample
1	H4	sample
1	H5	sample
1	H6	sample
1	H7	sample
1	H8	sample
1	H9	sample
1	H10	sample
1	H11	sample
1	H12	sample
1	H13	sample
1	H14	sample
1	H15	sample
1	H16	sample
1	H17	sample
1	H18	sample
1	H19	sample
1	H20	sample
1	H21	sample
1	H22	sample
1	H23	sample
1	H24	sample
1	I1	sample
1	I2	sample
1	I3	sample
1	I4	sample
1	I5	sample
1	I6	sample
1	I7	sample
1	I8	sample
1	I9	sample
1	I10	sample
1	I11	sample
1	I12	sample
1	I13	sample
1	I14	sample
1	I15	sample
1	I16	sample
1	I17	sample
1	I18	sample
1	I19	sample
1	I20	sample
1	I21	sample
1	I22	sample
1	I23	sample
1	I24	sample
1	J1	sample
1	J2	sample
1	J3	sample
1	J4	sample
1	J5	sample
1	J6	sample
1	J7	sample
1	J8	sample
1	J9	sample
1	J10	sample
1	J11	sample
1	J12	sample
1	J13	sample
1	J14	sample
1	J15	sample
1	J16	sample
1	J17	sample
1	J18	sample
1	J19	sample
1	J20	sample
1	J21	sample
1	J22	sample
1	J23	sample
1	J24	sample
1	K1	sample
1	K2	sample
1	K3	sample
1	K4	sample
1	K5	sample
1	K6	sample
1	K7	sample
1	K8	sample
1	K9	sample
1	K10	sample
1	K11	sample
1	K12	sample
1	K13	sample
1	K14	sample
1	K15	sample
1	K16	sample
1	K17	sample
1	K18	sample
1	K19	sample
1	K20	sample
1	K21	sample
1	K22	sample
1	K23	sample
1	K24	sample
1	L1	sample
1	L2	sample
1	L3	sample
1	L4	sample
1	L5	sample
1	L6	sample
1	L7	sample
1	L8	sample
1	L9	sample
1	L10	sample
1	L11	sample
1	L12	sample
1	L13	sample
1	L14	sample
1	L15	sample
1	L16	sample
1	L17	sample
1	L18	sample
1	L19	sample
1	L20	sample
1	L21	sample
1	L22	sample
1	L23	sample
1	L24	sample
1	M1	sample
1	M2	sample
1	M3	sample
1	M4	sample
1	M5	sample
1	M6	sample
1	M7	sample
1	M8	sample
1	M9	sample
1	M10	sample
1	M11	sample
1	M12	sample
1	M13	sample
1	M14	sample
1	M15	sample
1	M16	sample
1	M17	sample
1	M18	sample
1	M19	sample
1	M20	sample
1	M21	sample
1	M22	sample
1	M23	sample
1	M24	sample
1	N1	sample
1	N2	sample
1	N3	sample
1	N4	sample
1	N5	sample
1	N6	sample
1	N7	sample
1	N8	sample
1	N9	sample
1	N10	sample
1	N11	sample
1	N12	sample
1	N13	sample
1	N14	sample
1	N15	sample
1	N16	sample
1	N17	sample
1	N18	sample
1	N19	sample
1	N20	sample
1	N21	sample
1	N22	sample
1	N23	sample
1	N24	sample
1	O1	pos
1	O2	sample
1	O3	sample
1	O4	sample
1	O5	sample
1	O6	sample
1	O7	sample
1	O8	sample
1	O9	sample
1	O10	sample
1	O11	sample
1	O12	sample
1	O13	sample
1	O14	sample
1	O15	sample
1	O16	sample
1	O17	sample
1	O18	sample
1	O19	sample
1	O20	sample
1	O21	sample
1	O22	sample
1	O23	sample
1	O24	sample
1	P1	pos
1	P2	sample
1	P3	sample
1	P4	sample
1	P5	sample
1	P6	sample
1	P7	sample
1	P8	sample
1	P9	sample
1	P10	sample
1	P11	sample
1	P12	sample
1	P13	sample
1	P14	sample
1	P15	sample
1	P16	sample
1	P17	sample
1	P18	sample
1	P19	sample
1	P20	sample
1	P21	sample
1	P22	sample
1	P23	sample
1	P24	sample
