			PltRpt=1 Group=1 Copy of US LUM 384 (cps)(1) De=USLum Ex=N/A Em=N/A Wdw=N/A		PltRpt=1 Crosstalk = Crosstalk correction where Label : Copy of US LUM 384 (cps)(1) channel 1		
Plate	Barcode	Well	CalcResult	Signal	CalcResult		
1		A01	221160	44232	221160		
1		A02	180180	36036	180180		
1		A03	164500	32900	164500		
1		A04	159460	31892	159460		
1		A05	161840	32368	161840		
1		A06	202520	40504	202520		
1		A07	178860	35772	178860		
1		A08	143420	28684	143420		
1		A09	192640	38528	192640		
1		A10	190360	38072	190360		
1		A11	148260	29652	148260		
1		A12	200040	40008	200040		
1		A13	177980	35596	177980		
1		A14	206940	41388	206940		
1		A15	135760	27152	135760		
1		A16	183620	36724	183620		
1		A17	166980	33396	166980		
1		A18	176600	35320	176600		
1		A19	169760	33952	169760		
1		A20	179480	35896	179480		
1		A21	152020	30404	152020		
1		A22	176880	35376	176880		
1		A23	222160	44432	222160		
1		A24	172380	34476	172380		
1		B01	194740	38948	194740		
1		B02	145160	29032	145160		
1		B03	149120	29824	149120		
1		B04	170100	34020	170100		
1		B05	221200	44240	221200		
1		B06	161000	32200	161000		
1		B07	168060	33612	168060		
1		B08	149940	29988	149940		
1		B09	123040	24608	123040		
1		B10	209140	41828	209140		
1		B11	154220	30844	154220		
1		B12	180640	36128	180640		
1		B13	155480	31096	155480		
1		B14	207120	41424	207120		
1		B15	170900	34180	170900		
1		B16	156720	31344	156720		
1		B17	140000	28000	140000		
1		B18	217000	43400	217000		
1		B19	143540	28708	143540		
1		B20	160940	32188	160940		
1		B21	148900	29780	148900		
1		B22	249920	49984	249920		
1		B23	177400	35480	177400		
1		B24	177280	35456	177280		
1		C01	178180	35636	178180		
1		C02	193500	38700	193500		
1		C03	153120	30624	153120		
1		C04	172580	34516	172580		
1		C05	162760	32552	162760		
1		C06	116800	23360	116800		
1		C07	174300	34860	174300		
1		C08	211440	42288	211440		
1		C09	150680	30136	150680		
1		C10	131060	26212	131060		
1		C11	206380	41276	206380		
1		C12	97520	19504	97520		
1		C13	105520	21104	105520		
1		C14	155820	31164	155820		
1		C15	143820	28764	143820		
1		C16	168700	33740	168700		
1		C17	151580	30316	151580		
1		C18	173080	34616	173080		
1		C19	139020	27804	139020		
