			PltRpt=1 Group=1 Copy of US LUM 384 (cps)(1) De=USLum Ex=N/A Em=N/A Wdw=N/A				PltRpt=1 Crosstalk = Crosstalk correction where Label : Copy of US LUM 384 (cps)(1) channel 1					
Plate	Barcode	Well	CalcResultI	Signal	Flashes/Time	MeasTime	CalcResultI	Signal		MeasTime		
1		A01	221160	44232	0.2	00:00:00.000	221160	0	0	0		
1		A02	180180	36036	0.2	00:00:00.281	180180	0	0	0		
1		A03	164500	32900	0.2	00:00:00.578	164500	0	0	0		
1		A04	159460	31892	0.2	00:00:00.875	159460	0	0	0		
1		A05	161840	32368	0.2	00:00:01.172	161840	0	0	0		
1		A06	202520	40504	0.2	00:00:01.469	202520	0	0	0		
1		A07	178860	35772	0.2	00:00:01.765	178860	0	0	0		
1		A08	143420	28684	0.2	00:00:02.062	143420	0	0	0		
1		A09	192640	38528	0.2	00:00:02.344	192640	0	0	0		
1		A10	190360	38072	0.2	00:00:02.640	190360	0	0	0		
1		A11	148260	29652	0.2	00:00:02.937	148260	0	0	0		
1		A12	200040	40008	0.2	00:00:03.234	200040	0	0	0		
1		A13	177980	35596	0.2	00:00:03.531	177980	0	0	0		
1		A14	206940	41388	0.2	00:00:03.828	206940	0	0	0		
1		A15	135760	27152	0.2	00:00:04.125	135760	0	0	0		
1		A16	183620	36724	0.2	00:00:04.422	183620	0	0	0		
1		A17	166980	33396	0.2	00:00:04.703	166980	0	0	0		
1		A18	176600	35320	0.2	00:00:05.000	176600	0	0	0		
1		A19	169760	33952	0.2	00:00:05.297	169760	0	0	0		
1		A20	179480	35896	0.2	00:00:05.594	179480	0	0	0		
1		A21	152020	30404	0.2	00:00:05.890	152020	0	0	0		
1		A22	176880	35376	0.2	00:00:06.187	176880	0	0	0		
1		A23	222160	44432	0.2	00:00:06.484	222160	0	0	0		
1		A24	172380	34476	0.2	00:00:06.765	172380	0	0	0		
1		B01	194740	38948	0.2	00:00:13.922	194740	0	0	0		
1		B02	145160	29032	0.2	00:00:13.625	145160	0	0	0		
1		B03	149120	29824	0.2	00:00:13.328	149120	0	0	0		
1		B04	170100	34020	0.2	00:00:13.031	170100	0	0	0		
1		B05	221200	44240	0.2	00:00:12.734	221200	0	0	0		
1		B06	161000	32200	0.2	00:00:12.437	161000	0	0	0		
1		B07	168060	33612	0.2	00:00:12.140	168060	0	0	0		
1		B08	149940	29988	0.2	00:00:11.859	149940	0	0	0		
1		B09	123040	24608	0.2	00:00:11.562	123040	0	0	0		
1		B10	209140	41828	0.2	00:00:11.265	209140	0	0	0		
1		B11	154220	30844	0.2	00:00:10.969	154220	0	0	0		
1		B12	180640	36128	0.2	00:00:10.672	180640	0	0	0		
1		B13	155480	31096	0.2	00:00:10.375	155480	0	0	0		
1		B14	207120	41424	0.2	00:00:10.078	207120	0	0	0		
1		B15	170900	34180	0.2	00:00:09.797	170900	0	0	0		
1		B16	156720	31344	0.2	00:00:09.500	156720	0	0	0		
1		B17	140000	28000	0.2	00:00:09.203	140000	0	0	0		
1		B18	217000	43400	0.2	00:00:08.906	217000	0	0	0		
1		B19	143540	28708	0.2	00:00:08.609	143540	0	0	0		
1		B20	160940	32188	0.2	00:00:08.312	160940	0	0	0		
1		B21	148900	29780	0.2	00:00:08.015	148900	0	0	0		
1		B22	249920	49984	0.2	00:00:07.719	249920	0	0	0		
1		B23	177400	35480	0.2	00:00:07.437	177400	0	0	0		
1		B24	177280	35456	0.2	00:00:07.140	177280	0	0	0		
1		C01	178180	35636	0.2	00:00:14.281	178180	0	0	0		
1		C02	193500	38700	0.2	00:00:14.562	193500	0	0	0		
1		C03	153120	30624	0.2	00:00:14.859	153120	0	0	0		
1		C04	172580	34516	0.2	00:00:15.156	172580	0	0	0		
1		C05	162760	32552	0.2	00:00:15.453	162760	0	0	0		
1		C06	116800	23360	0.2	00:00:15.750	116800	0	0	0		
1		C07	174300	34860	0.2	00:00:16.047	174300	0	0	0		
1		C08	211440	42288	0.2	00:00:16.344	211440	0	0	0		
1		C09	150680	30136	0.2	00:00:16.640	150680	0	0	0		
1		C10	131060	26212	0.2	00:00:16.937	131060	0	0	0		
1		C11	206380	41276	0.2	00:00:17.219	206380	0	0	0		
1		C12	97520	19504	0.2	00:00:17.515	97520	0	0	0		
1		C13	105520	21104	0.2	00:00:17.812	105520	0	0	0		
1		C14	155820	31164	0.2	00:00:18.109	155820	0	0	0		
1		C15	143820	28764	0.2	00:00:18.406	143820	0	0	0		
1		C16	168700	33740	0.2	00:00:18.703	168700	0	0	0		
1		C17	151580	30316	0.2	00:00:19.000	151580	0	0	0		
1		C18	173080	34616	0.2	00:00:19.297	173080	0	0	0		
1		C19	139020	27804	0.2	00:00:19.594	139020	0	0	0		
1		C20	152700	30540	0.2	00:00:19.875	152700	0	0	0		
1		C21	113620	22724	0.2	00:00:20.172	113620	0	0	0		
1		C22	208240	41648	0.2	00:00:20.469	208240	0	0	0		
1		C23	157340	31468	0.2	00:00:20.765	157340	0	0	0		
1		C24	166440	33288	0.2	00:00:21.062	166440	0	0	0		
